rowid,name,restaurant_address,subzone_name,website,serves_veg_flag,pure_veg_flag,temp_closed_flag,is_seating_available,lat,lon,phone
47,Mason-Dixon Kitchen & Bar,"424 Preston Street, Ottawa K1S 4N2",The Glebe,http://masondixonottawa.com/,0,0,0,TRUE,45.4001368000,-75.7115614000,+1 (613) 422-7880
48,Villa Lucia Supper Club,"3430 Carling Avenue, Ottawa K2H 5J1",Bayshore,http://www.villalucia.com/,0,0,0,TRUE,45.3521916667,-75.8370055556,+1 (613) 596-1346
49,Options - Brookstreet Hotel,"Brookstreet Hotel, 525 Legget Drive, Ottawa K2K 2W2",Kanata,http://www.brookstreethotel.com/eat/options-jazz-lounge/,0,0,0,TRUE,45.3467378000,-75.9182043000,+1 (613) 271-1800
50,Main Street Pub,"1408 Main Street, Ottawa K2F 1B8",Stittsville,NA,0,0,0,TRUE,45.2618111111,-75.9255666667,+1 (613) 836-2684
1,D'Afrique Restaurant & Bar,"164 Laurier Avenue West, Ottawa K1P 5J4",Centretown,NA,0,0,0,TRUE,45.4205580000,-75.6943640000,+1 (613) 680-5755
2,Danby's Bar & Grill,"2858 Munster Road, Ottawa K0A 3P0",Munster,http://www.danbys.ca/,0,0,0,TRUE,45.1646820000,-75.9404580000,+1 (613) 838-2521
3,The Draft Pub,"University of Ottawa, Minto Sports Complex, 801 King Edward Avenue, Second Floor, Ottawa K1N 6V1",Sandy Hill,http://www.thedraftpub.com/,0,0,0,TRUE,45.4201660000,-75.6783470000,+1 (613) 422-0847
4,Sonny's Bar and Grill,"1119 Baxter Road, Ottawa K2C 1M1",Nepean,http://www.sonnysbarandgrill.com/,0,0,0,TRUE,45.3505250000,-75.7822638889,+1 (613) 829-1920
5,Blades Bar & Grill,"Minto Skating Centre, 2571 Lancaster Road, Main Level, Ottawa K1B 4L5",Riverview,NA,0,0,0,TRUE,45.4000388889,-75.6124583333,+1 (613) 733-7800
6,Avant-Garde Bar,"135 1/2 Besserer Street, Ottawa K1N 6A7",ByWard Market,http://www.avantgardebar.com,0,0,0,TRUE,45.4266490000,-75.6889480000,+1 (613) 321-8908
7,JunXion,"15 George Street, Ottawa K1N 1K2",ByWard Market,http://www.thejunxionottawa.com/,0,0,0,TRUE,45.4266030000,-75.6933685000,+1 (613) 241-2868
8,Fat Tuesdays,"625 Kanata Avenue, Ottawa K2T 1K5",Kanata,http://www.fattuesdays.ca/,0,0,0,TRUE,45.3106260000,-75.9111380000,+1 (613) 591-3287
9,Moondog Pub and Grill,"238 Laurier Avenue East, Ottawa K1N 6P1",Sandy Hill,NA,0,0,0,TRUE,45.4260350000,-75.6811700000,+1 (613) 233-3624
10,Beerocracy,"340 Somerset Street W, Ottawa K2P 0J9",Centretown,http://www.Beerocracy.ca,0,0,0,TRUE,45.4156340000,-75.6953870000,+1 (613) 680-2337
11,Time Out Pub & Grill,"1119 Meadowlands Drive East, Ottawa K2E 6J5",Nepean,http://www.timeoutottawa.com/,0,0,0,TRUE,45.3629270000,-75.7120730000,+1 (613) 726-3003
12,Sasha's Lounge - Sheraton Ottawa Hotel,"Sheraton Ottawa Hotel, 150 Albert Street, Ottawa, ON K1A 1M5",Centretown,NA,0,0,0,TRUE,45.4210916667,-75.6980583333,+1 (613) 238-1500
13,Waller Street Brewing,"14 Waller Street, Lower Level, Ottawa K1N 9C4",ByWard Market,http://www.wallerst.ca,0,0,0,TRUE,45.4271060000,-75.6886000000,+1 (613) 860-1515
14,Half Pint Pub,"968 Notre Dame Street, Embrun K0A 1M0",Embrun,http://www.halfpintpub.ca,0,0,0,TRUE,45.2721680000,-75.2808990000,+1 (613) 370-0176
15,The Blurry Pixel,"Second Floor, 201 Queen Street, Ottawa K1P 5C9",Centretown,http://theblurrypixel.com,0,0,0,TRUE,45.4210530000,-75.7005710000,
16,Mike's Place,"Carleton University, University Centre, 1125 Colonel By Drive, Second Floor, Ottawa K1S 5B6",Old Ottawa South,http://gsacarleton.ca/mikes-place/,0,0,0,TRUE,45.3834980000,-75.6972920000,+1 (613) 520-6616
17,Ppl. Night Club,"130 George Street, Ottawa K1N 5W4",ByWard Market,http://www.pplottawa.com,0,0,0,TRUE,45.4280840000,-75.6896390000,+1 (613) 769-4390
18,Gab's Sports Bar,"1039 Laurier Street, Clarence-Rockland K4K 1E6",Clarence-Rockland,NA,0,0,0,TRUE,45.5539666667,-75.2798833333,+1 (613) 446-9916
19,Borgo Bar,"262 Preston Street, Ottawa K1R 7R5",Little Italy,NA,0,0,0,TRUE,45.4043899012,-75.7120898969,+1 (613) 862-8750
20,The Garden - Hilton Garden Inn,"Hilton Garden Inn, 2400 Alert Road, Ottawa K1V 1S1",Hunt Club,http://hiltongardeninn3.hilton.com/en/hotels/ontario/hilton-garden-inn-ottawa-airport-YOWAPGI/dining/index.html,0,0,0,TRUE,45.3280980000,-75.6522050000,+1 (613) 288-9013
21,The Rainbow,"76 Murray Street, Ottawa K1N 5M6",ByWard Market,http://www.therainbow.ca/,0,0,0,TRUE,45.4295930000,-75.6937220000,+1 (613) 241-5123
22,The Whiskey Bar,"112 York Street, Ottawa K1N 5T5",ByWard Market,http://www.whiskeybar.ca,0,0,0,TRUE,45.4290250000,-75.6906340000,+1 (613) 241-5457
23,Zaphods,"27 York Street, Ottawa K1N 5S7",ByWard Market,http://zaphods.ca/,0,0,0,TRUE,45.4279430000,-75.6939190000,+1 (613) 562-1010
24,Carlington Sports Bar,"1577 Laperriere Avenue, Ottawa K1Z 7T3",Carlington,NA,0,0,0,TRUE,45.3767540000,-75.7456920000,+1 (613) 761-1989
25,The Whalesbone,"231 Elgin Street , Ottawa K2P 1L6",The Glebe,http://thewhalesbone.com/,0,0,0,TRUE,45.4188690000,-75.6910760000,+1 (613) 505-4300
26,The Fireside Pub,"Walkley Bowling Centre, 2092 Walkley Road, Ottawa K1G 3V3",Riverview,http://walkleybowlingcentre.com/fireside-pub/,0,0,0,TRUE,45.3846290000,-75.6258250000,+1 (613) 521-0132
27,Grumpy's,"4000 Bridle Path Drive, Ottawa, ON K1T 1Z5",South Keys,NA,0,0,0,TRUE,45.3483200000,-75.6456840000,+1 (613) 525-9490
28,Dooly's,"2279 Gladwin Crescent, Ottawa K1B 4L5",Riverview,http://www.doolys.ca/,0,0,0,TRUE,45.4040250000,-75.6236670000,+1 (613) 260-2311
29,Fieldhouse Bar & Grill,"RA Centre, 2451 Riverside Drive, Ottawa K1H 7X7",Riverside,http://www.racentre.com/socilahqs,0,0,0,TRUE,45.3817950000,-75.6842258000,+1 (613) 736-6203
30,Cue & Cushion,"319 Bank Street, Ottawa K2P 1X9",Centretown,http://cuencushion.ca,0,0,0,TRUE,45.4144930000,-75.6955060000,+1 (613) 237-2404
31,Oliver's,"Carleton University, University Building, 1125 Colonel By Drive, First Floor, Ottawa K1S 5B6",Old Ottawa South,NA,0,0,0,TRUE,45.3833230000,-75.6976930000,+1 (613) 520-6688
32,Stanley's,"1565 Maple Grove Road, Ottawa K2V 1A3",Kanata,http://stanleys.bellsensplex.ca/,0,0,0,TRUE,45.2969975000,-75.9090323000,+1 (613) 599-0233
33,Velvet Room,"62 York Street, Ottawa K1N 5T1",ByWard Market,http://www.velvetroom.ca,0,0,0,TRUE,45.4283480000,-75.6922090000,+1 (613) 241-6810
34,Bab El Hara Cafe and Shawarma,"257 McArthur Avenue, Ottawa K1L 6P3",Vanier,NA,0,0,0,TRUE,45.4317000000,-75.6583340000,+1 (613) 695-8955
35,The Brass Monkey,"Greenbank Hunt Club Centre, 250 Greenbank Road, Ottawa K2H 8X4",Bells Corners,http://www.brassmonkeybilliards.com/home/,0,0,0,TRUE,45.3253150000,-75.7798230000,+1 (613) 820-4889
36,Finnigans Pub,"347 Montreal Road, Ottawa K1L 6B2",Vanier,NA,0,0,0,TRUE,45.4381100000,-75.6561440000,+1 (613) 747-2578
37,The Laff,"42 York Street, Ottawa K1N 5S6",ByWard Market,http://www.thelaff.ca/,0,0,0,TRUE,45.4278500000,-75.6932580000,+1 (613) 241-4747
38,Amigo's Sports Bar,"858 Merivale Road, Ottawa K1Z 5Z4",Carlington,http://www.amigossportsbar.com,0,0,0,TRUE,45.3852870000,-75.7323380000,+1 (613) 725-2818
39,Le Bibliothèque Café,"Capital Hill Hotel & Suites, 88 Albert Street, Ottawa K1P 5E9",Centretown,http://www.capitalhill.com/index.php/accommodations/bibliotheque-cafe/,0,0,0,TRUE,45.4220783035,-75.6959513202,+1 (613) 235-1413
40,Tequila Jacks,"104 Clarence Street, Ottawa K1N 5P5",ByWard Market,http://tequilajacksottawa.ca/,0,0,0,TRUE,45.4292510000,-75.6924040000,+1 (613) 862-7622
41,Liquor Store,"130 York Street, Ottawa K1N 5T5",ByWard Market,http://www.liquorstorepartybar.com,0,0,0,TRUE,45.4293400000,-75.6897010000,+1 (613) 241-6827
42,The Bourbon Room,"400 Dalhousie Street, Unit A, Ottawa K1N 9K4",ByWard Market,http://www.thebourbonroom.ca/,0,0,0,TRUE,45.4269280000,-75.6896080000,+1 (613) 878-8110
43,Tugal's,"74 Cobourg Street, Ottawa K1N 8G8",Lower Town,NA,0,0,0,TRUE,45.4339560000,-75.6797840000,+1 (613) 789-9295
44,VJ's,"150 Laurier Avenue West, Ottawa K1P 5JR",Centretown,NA,0,0,0,TRUE,45.4208000000,-75.6937500000,+1 (613) 234-0925
45,Stars Palace,"161 Montreal Road, Ottawa, ON K1L 6E4",Vanier,NA,0,0,0,TRUE,45.4349750000,-75.6648250000,+1 (613) 842-0999
46,Mercury Lounge,"56 ByWard Market Square, Ottawa K1N 7A2",ByWard Market,http://www.mercurylounge.com/,0,0,0,TRUE,45.4272510000,-75.6925060000,+1 (613) 789-5324
47,Kavali,"34 Clarence Street, Ottawa K1N 5P3",ByWard Market,http://kavali.ca/,0,0,0,TRUE,45.4284090000,-75.6943800000,+1 (613) 315-8255
48,The Cabin,"95 York Street, Ottawa K1N 5T2",ByWard Market,http://thecabin.ca/,0,0,0,TRUE,45.4289600000,-75.6914940000,+1 (613) 241-7552
49,Dubai Café,"1652 Bank Street, Ottawa K1V 7Y6",Riverside,NA,0,0,0,TRUE,45.3766400000,-75.6668720000,+1 (613) 406-6640
50,VIP Karaoke Bar,"610 Somerset Street West, Inside Korean Palace, Second Floor K1R 5K4",Centretown,http://www.vipkaraokebar.com/,0,0,0,TRUE,45.4123380000,-75.7039280000,+1 (613) 983-8847: +1 (613) 680-8847
1,Minnesota's,"442 Hazeldean Road, Ottawa K2L 1V2",Kanata,http://www.minnesotasbilliards.com,0,0,0,TRUE,45.2995510000,-75.8851480000,+1 (613) 831-0031
2,The Dominion,"33 York Street, Ottawa K1N 5S7",ByWard Market,http://www.tavern.ca/,0,0,0,TRUE,45.4279690000,-75.6938090000,+1 (613) 241-7706
3,Melody Cafe,"257 McArthur Avenue, Ottawa K1L 6P3",Vanier,NA,0,0,0,TRUE,45.4316920000,-75.6583340000,+1 (613) 695-4774
4,Café Caco Sports Bar,"77 Montreal Road, Ottawa, ON K1L 6E8",Vanier,http://cafecaco.tripod.com/index.html,0,0,0,TRUE,45.4337990000,-75.6677350000,+1 (613) 749-8249
5,Concorde Tavern & Sports Bar,"Concorde Motel, 333 Montreal Road, Ottawa, ON K1L 6B4",Vanier,http://www.concordemotel.ca/sportsbar.htm,0,0,0,TRUE,45.4378400000,-75.6569640000,+1 (613) 745-2112
6,Striker's Billiards,"Orleans Bowling Centre, 885 Taylor Creek Drive, Ottawa K1C 1T1",Orleans,http://www.orleansbowling.com/#!billiards-/czmi,0,0,0,TRUE,45.4930480000,-75.4814960000,+1 (613) 837-7000
7,Green Room,"130 York Street, Ottawa K1N 5T5",ByWard Market,http://www.greenroomottawa.ca,0,0,0,TRUE,45.4293400000,-75.6897010000,+1 (613) 241-6827
8,Karina's Pub,"668 Cartier Street, Casselman K0A 1M0",Casselman,NA,0,0,0,TRUE,45.3134300000,-75.0874620000,+1 (613) 764-5608
9,Cafe Dijla,"575 Gladstone Avenue, Ottawa K1V 7Z8",Centretown,NA,0,0,0,TRUE,45.4094010000,-75.7006910000,+1 (613) 699-5252
10,Eve,"110 York Street, Second Level, Ottawa K1N 1K9",ByWard Market,http://www.eve110york.com/,0,0,0,FALSE,45.4289200000,-75.6906890000,+1 (613) 867-4262
11,Duffy's Tavern,"6 Lennox Street, Ottawa, ON K0A 2Z0",Richmond,NA,0,0,0,TRUE,45.1932490000,-75.8394710000,+1 (613) 838-3837
12,Flybar,"158 1/2 Rideau Street, Ottawa K1N 5X6",ByWard Market,http://flybarottawa.ca/,0,0,0,TRUE,45.4269540000,-75.6898410000,+1 (613) 860-8261
13,Ritual,"137 Besserer Street, Ottawa K1N 9M7",ByWard Market,NA,0,0,0,TRUE,45.4265940000,-75.6888900000,+1 (613) 680-7661
14,Babylon,"317 Bank Street, Ottawa K2P 1X9",Centretown,http://www.babylonclub.ca/,0,0,0,TRUE,45.4145360000,-75.6955280000,+1 (613) 594-0003
15,The Cross Bar,"Ray Friel Recreation Complex, Second Floor, 1585 Tenth Line, Ottawa K1E 3E8",Orleans,http://www.thecrossbar.ca/,0,0,0,TRUE,45.4719710000,-75.4931030000,+1 (613) 830-0988
16,Dodge City,"104 Clarence Street, Ottawa K1N 5P5",ByWard Market,http://dodgecityottawa.com/,0,0,0,TRUE,45.4292510000,-75.6924040000,+1 (613) 805-2738
17,PLURR,"310 Dalhousie Street, Ottawa K1N 7E7",ByWard Market,http://plurrottawa.com/,0,0,0,TRUE,45.4291330000,-75.6914610000,+1 (613) 852-9570
