name,address,phone,note,update_date,lat,lng,chain,category2,category3,ONS_ID,Nbhd,Nbhd_FR
Dollarama,"2679 Alta Vista Dr, Ottawa, ON, K1V7T5",16137397874,NA,2021-08-26,45.372543,-75.6631,TRUE,convenience,regular,932,Ledbury - Heron Gate - Ridgemont, 
Dollarama,"2515 Bank St, Ottawa, ON, K1V0Y4",16132498613,NA,2021-08-26,45.3544223,-75.6451719,TRUE,convenience,regular,97,South Keys - Greenboro West,South Keys - Greenboro Ouest
Dollarama,"1009 Daze St, Ottawa, ON, K1V 2G3",16137369361,NA,2021-08-26,45.3538452,-75.6517844,TRUE,convenience,regular,97,South Keys - Greenboro West,South Keys - Greenboro Ouest
Dollarama,"1363 Woodroffe Ave, Nepean, ON, K2G 1V7",16132285586,NA,2021-08-26,45.3508168,-75.7584962,TRUE,convenience,regular,31,Cityview - Crestview - Meadowlands, 
Dollarama,"1651 Merivale Rd, Nepean, ON, K2G3K2",16132882431,NA,2021-08-26,45.3502756,-75.7312492,TRUE,convenience,regular,905,Borden Farm - Fisher Glen, 
Dollarama,"565 West Hunt Club Rd, Nepean, ON, K2G 5W5",16132247204,NA,2021-08-26,45.3358623,-75.7285727,TRUE,convenience,regular,99,Tanglewood, 
Dollarama,"228 Hunt Club Rd, Ottawa, ON, K1V1C1",16132472138,NA,2021-08-26,45.3335674,-75.6913084,TRUE,convenience,regular,48,Hunt Club - Ottawa Airport,Hunt Club - Aéroport d'Ottawa
DollyDoll Cupcake Co,"2333 Church St., North Gower, ON K0A 2T0",NA,Bakeries,2021-08-26,45.1306724,-75.7161944,FALSE,specialty,bakery,70,North Gower - Kars, 
Domestic Foods,"595 Gladstone Ave, Ottawa, ON K1R 5P2",(613) 230-5427,"Grocery, Convenience Stores",2021-07-06,45.4092318,-75.7010511,FALSE,grocery,small,24,Centretown,Centre-Ville
Donna's Friendly Store,"157 Cathcart St, Ottawa, ON K1N 5C1",NA,NA,2021-08-26,45.4336358,-75.695023,FALSE,grocery,small,908,Byward Market,Marché By
Drip House,"340B Parkdale Avenue, Ottawa, ON K1Y 2W5",NA,Cafes,2021-08-26,45.4023214,-75.7307914,FALSE,specialty,bakery,47,Hintonburg - Mechanicsville, 
Drummond's Gas,"635 Bronson Ave, Ottawa, ON K1S 4E7",NA,NA,2021-08-26,45.4036335,-75.7009458,TRUE,convenience,gas station,923,Glebe - Dows Lake,Glebe â€“ Lac Dows
Drummond's Gas,"1925 Merivale Road, Nepean, ON K2G 1E7",NA,NA,2021-08-26,45.3296415,-75.7205072,TRUE,convenience,gas station,51,Hunt Club South Industrial,Hunt Club Sud Industriel
Drummond's Gas,"5501 Bank Street, Gloucester, ON K1X 1G9",NA,NA,2021-08-26,45.2814668,-75.5707625,TRUE,convenience,gas station,918,Edwards - Carlsbad Springs, 
Drummond's Gas,"5220 Mitch Owens Road, Manotick, ON K4M 1B2",NA,NA,2021-08-26,45.233935,-75.675158,TRUE,convenience,gas station,64,Manotick, 
Drummond's Gas,"5789 Perth, Richmond, ON K0A 2Z0",NA,NA,2021-08-26,45.2046343,-75.8233229,TRUE,convenience,gas station,944,Richmond, 
Druxy's Famous Deli Sandwiches,"100 Metcalfe St, Ottawa, ON K1P 5M1",NA,"Delis, Sandwiches",2021-08-26,45.4207709,-75.6958446,FALSE,specialty,deli meat cheese,24,Centretown,Centre-Ville
Dumouchel Meat & Deli,"351 Donald St, Ottawa, ON K1K 1M4",NA,NA,2021-08-26,45.4281847,-75.6530505,FALSE,specialty,deli meat cheese,940,Overbrook - McArthur, 
Dunn's Famous Deli,"355 Dalhousie Street, Ottawa, ON",(613) 562-4966,"Delis, Diners",2021-07-06,45.4281632,-75.6902091,TRUE,specialty,deli meat cheese,908,Byward Market,Marché By
Dunn's Famous Deli,"203 Queen St, Ottawa, ON K1P 5C9",NA,"Delis, Sandwiches",2021-08-26,45.4208664,-75.7005441,TRUE,specialty,deli meat cheese,24,Centretown,Centre-Ville
Durocher Market,"200 Durocher Street, Vanier, ON K1L 7S4",NA,Convenience Stores,2021-08-26,45.4364772,-75.6664526,FALSE,convenience,regular,953,Vanier North,Vanier Nord
Dutch Groceries and Giftware,"1400 Clyde Avenue, Ottawa, ON",(613) 226-1002,International Grocery,2021-07-06,45.3583259,-75.7389182,FALSE,grocery,small,31,Cityview - Crestview - Meadowlands, 
Dynes Express,"890 Dynes Rd, Ottawa, ON K2C 0G8",NA,Convenience Stores,2021-08-26,45.3699579,-75.7046893,FALSE,convenience,regular,16,Carleton Heights - Rideauview,Hauteurs Carleton - Rideauview
Eating Well Ottawa,"1169 Parisien Street, Ottawa, ON",(613) 695-7200,"Organic Stores, Food Delivery Services",2021-07-06,45.4201195,-75.6273123,FALSE,grocery,small,917,East Industrial,Industriel-Est
Econo-Medical,"3234 Hawthorne Road, Ottawa, ON K1G 3W9",NA,Medical Supplies,2021-08-26,45.3817889,-75.6017695,FALSE,specialty,health store,917,East Industrial,Industriel-Est
Eden 2,"1869 walkley Road, Ottawa, ON K1H 6X9",NA,Nutritionists,2021-08-26,45.3821101,-75.6353459,FALSE,specialty,health store,87,Playfair Park - Lynda Park - Guildwood Estates,Parc Playfair - Parc Lynda - Domaines Guildwood
Edgar,"60 Rue BÃƒÂ©gin, Gatineau, QC J9A 1E2",NA,"Breakfast &amp; Brunch, Desserts",2021-08-26,45.4208108,-75.7452017,FALSE,specialty,bakery,NA,NA,NA
Encore Deli-cious Sandwiches,"58 Antares Dr, Ottawa, ON K2E 7W6",NA,Delis,2021-08-26,45.3303677,-75.7098027,FALSE,specialty,deli meat cheese,51,Hunt Club South Industrial,Hunt Club Sud Industriel
Epicerie Jocelyn Claire Fournier,"29 Rue Morin, Ottawa, ON",(819) 777-1094,Grocery,2021-07-06,45.4293178,-75.7249381,FALSE,grocery,small,NA,NA,NA
Epicuria,"357 St Laurent Boulevard, Ottawa, ON K1K 2Z7",NA,"Caterers, Bakeries",2021-08-26,45.448773,-75.6506923,FALSE,specialty,bakery,935,Manor Park, 
ESSO CIRCLE K,"3869 INNES RD, ORLEANS, ON",NA,NA,2021-08-26,45.4531593,-75.5120415,TRUE,convenience,gas station,939,Orléans Village - Chateauneuf, 
ESSO CIRCLE K,"120 MONTREAL RD, VANIER, ON",NA,NA,2021-08-26,45.4340001,-75.6660956,TRUE,convenience,gas station,954,Vanier South,Vanier Sud
ESSO CIRCLE K,"450 BANK ST, OTTAWA, ON",NA,NA,2021-08-26,45.4118113,-75.6937908,TRUE,convenience,gas station,24,Centretown,Centre-Ville
ESSO COUCHE-TARD,"101 RUE GEORGES, GATINEAU, QC",NA,NA,2021-08-26,45.5540846,-75.4363994,TRUE,convenience,gas station,NA,NA,NA
ESSO COUCHE-TARD,"1225 RUE DE NEUVILLE, GATINEAU, QC",NA,NA,2021-08-26,45.5310494,-75.4960703,TRUE,convenience,gas station,NA,NA,NA
ESSO COUCHE-TARD,"348 BOUL LORRAIN, GATINEAU, QC",NA,NA,2021-08-26,45.5069413,-75.6089149,TRUE,convenience,gas station,NA,NA,NA
ESSO COUCHE-TARD,"882 BOUL ST-RENE O, GATINEAU, QC",NA,NA,2021-08-26,45.4892103,-75.6893638,TRUE,convenience,gas station,NA,NA,NA
ESSO COUCHE-TARD,"725 BOUL DES HAUTES-PLAINES, GATINEAU, QC",NA,NA,2021-08-26,45.474538,-75.7719339,TRUE,convenience,gas station,NA,NA,NA
ESSO COUCHE-TARD,"480 BOUL SAINT-JOSEPH, GATINEAU, QC",NA,NA,2021-08-26,45.4464211,-75.7323619,TRUE,convenience,gas station,NA,NA,NA
ESSO COUCHE-TARD,"51 BOUL FOURNIER, GATINEAU, QC",NA,NA,2021-08-26,45.4463463,-75.7130504,TRUE,convenience,gas station,NA,NA,NA
ESSO COUCHE-TARD,"585 BOUL DES GRIVES, GATINEAU, QC",NA,NA,2021-08-26,45.4435358,-75.7859961,TRUE,convenience,gas station,NA,NA,NA
Europa Food Centre,"77 Beechwood Ave, Ottawa, ON",(613) 749-9935,Grocery,2021-07-06,45.4406892,-75.6747722,FALSE,grocery,small,933,Lindenlea - New Edinburgh, 
European Delicatessen,"1568 Merivale Road, Ottawa, ON",(613) 228-0394,Delis,2021-07-06,45.3516443,-75.7347403,FALSE,grocery,small,31,Cityview - Crestview - Meadowlands, 
Extreme Pita,"1125 Colonel By Dr, Ottawa, ON K1S 5B6",NA,Sandwiches,2021-08-26,45.3874831,-75.6959835,FALSE,specialty,deli meat cheese,17,Carleton University,Université Carleton
Fairway Trading Co,"9 Byward Market Square, Ottawa, ON K1N 9B8",NA,NA,2021-08-26,45.4284911,-75.6933351,FALSE,grocery,small,908,Byward Market,Marché By
Farhat's Bakery,"1119 Meadowlands Drive, Ottawa, ON K2C 0K5",NA,"Bakeries, Lebanese",2021-08-26,45.3629646,-75.7121133,FALSE,specialty,bakery,941,Parkwood Hills - Stewart Farm, 
farm 2 fork,"3150 Hawthorne Rd, Ottawa, ON K1G 5H5",NA,NA,2021-08-26,45.385374,-75.6043151,FALSE,grocery,small,917,East Industrial,Industriel-Est
Farm Boy,"3035 St. Joseph Boulevard, Ottawa, ON K1E 1E1",613-590-1830,NA,2021-05-14,45.4776536,-75.5132978,TRUE,grocery,large,915,Convent Glen - Orléans Woods, 
Farm Boy,"2030 Tenth Line Road, Ottawa, ON K4A 4X4",613-841-4221,NA,2021-05-14,45.4584073,-75.4877257,TRUE,grocery,large,942,Portobello South, 
Farm Boy,"50 Rideau Street, Ottawa, ON K1N 9J7",613-244-1033,NA,2021-05-14,45.4252795,-75.6929819,TRUE,grocery,large,949,Sandy Hill,CÃ´te-de-Sable
Farm Boy,"193 Metcalfe Street, Ottawa, ON K2P 0S5",613-598-0257,NA,2021-05-14,45.4187946,-75.6929885,TRUE,grocery,large,24,Centretown,Centre-Ville
Farm Boy,"830 Belfast Rd, Ottawa, ON K1G 0Z4",613-288-0616,NA,2021-05-14,45.412515,-75.6380428,TRUE,grocery,large,917,East Industrial,Industriel-Est
Farm Boy,"317 McRae Avenue, Ottawa, ON K1Z 8P4",613-722-7300,NA,2021-05-14,45.3960489,-75.7498115,TRUE,grocery,large,958,Westboro, 
Farm Boy,"1500 Bank St., Ottawa, ON, K1H 7Z1",613-739-7199,NA,2021-05-14,45.3809813,-75.6701018,TRUE,grocery,large,903,Billings Bridge - Alta Vista, 
Farm Boy,"1642 Merivale Road, Ottawa, ON K2G 4A1",NA,Grocery,2021-08-26,45.3455841,-75.732034,TRUE,specialty,deli meat cheese,31,Cityview - Crestview - Meadowlands, 
Farm Boy,"2950 Bank Street, Ottawa ON K1T 1N8",613-260-7330,NA,2021-05-14,45.344538,-75.622643,TRUE,grocery,large,52,Hunt Club Upper -Blossom Park - Timbermill,Hunt Club Supérieur - Parc Blossom - Timbermill
Farm Boy,"499 Terry Fox Drive, Ottawa, ON K2T 1H7",613-271-8727,NA,2021-05-14,45.3108116,-75.9199686,TRUE,grocery,large,928,Kanata Lakes - Arcardia, 
Farm Boy,"457 Hazeldean Road, Ottawa, ON K2L 1V1",613-836-8085,NA,2021-05-14,45.3001758,-75.8857221,TRUE,grocery,large,929,Katimavik - Hazeldean, 
Farm Boy,"3033 Woodroffe Avenue, Ottawa, ON K2G 6H2",613-823-8835,NA,2021-05-14,45.2881771,-75.7251596,TRUE,grocery,large,945,Rideau Crest - Davidson Heights, 
Farm Boy,"1250 Stittsville Main St., Ottawa, ON, K2S 1S9",613-836-4594,NA,2021-05-14,45.2683251,-75.9311153,TRUE,grocery,large,951,Stittsville, 
Farm Boy,"1495 Richmond Road, Ottawa, ON, K2B 6R9",613-688-2882,NA,2021-05-14,45.362791,-75.7912934,TRUE,grocery,large,906,Britannia Village, 
Farm Boy,"1642 Merivale Road, Ottawa, ON K2G 4A1",613-228-7417,NA,2021-05-14,45.3455841,-75.732034,TRUE,grocery,large,31,Cityview - Crestview - Meadowlands, 
Farm Boy,"585 Montreal Road, Ottawa, ON K1K 4K3",613-744-3463,NA,2021-05-14,45.4426297,-75.6443967,TRUE,grocery,large,935,Manor Park, 
Farm House,"55 Byward Market Sq, Ottawa, ON K1N 9C3",NA,Bakeries,2021-08-26,45.427449,-75.6923646,FALSE,specialty,bakery,908,Byward Market,Marché By
Farmer's Pick,"1430 Prince of Wales Drive, Ottawa, ON",(613) 225-1240,Fruits & Veggies,2021-07-06,45.3685302,-75.7027863,FALSE,grocery,small,16,Carleton Heights - Rideauview,Hauteurs Carleton - Rideauview
Fas Gas & Crystal Wash,"1111 Ogilvie Road, Ottawa, ON K1J 7P7",NA,Gas Stations,2021-08-26,45.426329,-75.6323658,FALSE,convenience,gas station,940,Overbrook - McArthur, 
FidÃƒÂ©lice,"262 Saint-Joseph Blvd, Gatineau, QC J8Y 3X8",NA,Bakeries,2021-08-26,45.4372481,-75.7326373,FALSE,specialty,bakery,NA,NA,NA
Fiesta Manila bakery and Filipino Store,"1800 Bank St, Ottawa, ON K1V 0W3",NA,NA,2021-08-26,45.3715892,-75.6643203,FALSE,grocery,small,903,Billings Bridge - Alta Vista, 
Firehouse Subs,"3838 Innes Rd, Ottawa, ON K1W 1K9",NA,"Fast Food, Delis, Sandwiches",2021-08-26,45.4522275,-75.5126743,TRUE,specialty,deli meat cheese,75,Chapel Hill South,Chapel Hill Sud
Firehouse Subs,"2014 Ogilvie Rd., Gloucester, ON K1J 7N9",NA,"Sandwiches, Fast Food, Delis",2021-08-26,45.4369307,-75.6037275,TRUE,specialty,deli meat cheese,3,Beacon Hill South - Cardinal Heights,Beacon Hill Sud - Cardinal Heights
Firehouse Subs,"280 West Hunt Club Rd, Nepean, ON K2E 0B7",NA,"Sandwiches, Delis, Fast Food",2021-08-26,45.3395459,-75.711934,TRUE,specialty,deli meat cheese,51,Hunt Club South Industrial,Hunt Club Sud Industriel
Firehouse Subs,"41 Marketplace Ave, Nepean, ON K2J 5G4",NA,"Sandwiches, Fast Food, Delis",2021-08-26,45.2690589,-75.7442837,TRUE,specialty,deli meat cheese,914,Chapman Mills, 
Fitness Warehouse,"2095 St Joseph Blvd, Orleans, ON K1C 1E7",NA,Health Food Store,2021-08-26,45.4666127,-75.5357775,FALSE,specialty,health store,915,Convent Glen - Orléans Woods, 
Food Africana Shop,"1848 Carling Ave, Ottawa, ON K2A 2P5",NA,NA,2021-08-26,45.3758925,-75.7565765,FALSE,grocery,small,910,Carlingwood West - Glabar Park - McKellar Heights, 
FOOD BASICS,9030 County Road 17 Rockland K4K 1V5,613-446-2825,NA,2021-05-01,45.5481786,-75.301749,TRUE,grocery,large,NA,NA,NA
FOOD BASICS,3712 Innes Road Orleans K1W 0C8,613-837-0650,NA,2021-05-01,45.4501454,-75.5174796,TRUE,grocery,large,75,Chapel Hill South,Chapel Hill Sud
FOOD BASICS,"1021 Cyrville Road, Unit 1 Ottawa K1J 7S3",613-842-4445,NA,2021-05-01,45.4257875,-75.6359037,TRUE,grocery,large,940,Overbrook - McArthur, 
FOOD BASICS,667 Kirkwood Avenue Ottawa K1Z 8N7,613-722-7412,NA,2021-05-01,45.3852151,-75.7406076,TRUE,grocery,large,958,Westboro, 
FOOD BASICS,1670 Heron Road Ottawa K1V 0C2,613-731-0066,NA,2021-05-01,45.379825,-75.644557,TRUE,grocery,large,932,Ledbury - Heron Gate - Ridgemont, 
FOOD BASICS,"1465 Merivale Road, Unit 13 Ottawa K2E 5N9",613-224-1544,NA,2021-05-01,45.3609612,-75.7340239,TRUE,grocery,large,950,Skyline - Fisher Heights, 
FOOD BASICS,150 Katimavik Road Kanata K2L 2N2,613-592-2942,NA,2021-05-01,45.3124188,-75.8958402,TRUE,grocery,large,929,Katimavik - Hazeldean, 
FOOD BASICS,5703 Hazeldean Road Stittsville K2S 0P6,613-831-3394,NA,2021-05-01,45.2852452,-75.9135878,TRUE,grocery,large,951,Stittsville, 
FOOD BASICS,900 Greenbank Road Ottawa K2J 1S8,613-823-4458,NA,2021-05-01,45.2847264,-75.7564617,TRUE,grocery,large,938,Old Barrhaven West,Old Barrhaven Ouest
FOOD BASICS,"2615 Highway #43, R.R. #5 Kemptville K0G 1J0",613-258-1266,NA,2021-05-01,45.0199425,-75.65949,TRUE,grocery,large,NA,NA,NA
Food Frenz,"275 Laurier Ave. E, Ottawa, ON K1N 6P7",NA,NA,2021-08-26,45.4266821,-75.6800434,TRUE,grocery,large,949,Sandy Hill,CÃ´te-de-Sable
Food Frenz,"2910 Carling Avenue, Ottawa, ON K2B 7J7",NA,Convenience Stores,2021-08-26,45.3566719,-75.8006858,TRUE,convenience,regular,106,Whitehaven - Queensway Terrace North,Whitehaven - Terrasse Queensway Nord
FOODLAND,"1349 Meadow Drive, Greely, on, K4P 1N3",613-821-3016,Foodland Greely,2021-05-01,45.2657496,-75.5632462,TRUE,grocery,large,925,Greely, 
FOODLAND,"101-6045 Bank Street, Greely, on, K4P 0G5",613-821-3016,Foodland Greely,2021-05-01,45.2633793,-75.5549986,TRUE,grocery,large,925,Greely, 
FOODLAND,"148 Craig Street, Russell, on, K4R 1A1",613-445-0468,Foodland Russell,2021-05-01,45.2570873,-75.3722076,TRUE,grocery,large,NA,NA,NA
FOODLAND,"5669 Main Street, Osgoode, on, K0A 2W0",613-826-2282,Foodland Osgoode,2021-05-01,45.1486903,-75.6009866,TRUE,grocery,large,81,Osgoode - Vernon, 
FOODLAND,"12015 Main Street West, Winchester, on, K0C 2K0",613-774-1958,Foodland Winchester,2021-05-01,45.0875094,-75.3722924,TRUE,grocery,large,NA,NA,NA
Forever Living Products,"58 Promenade Ave, Nepean, ON K2E 5X8",NA,Health Food Store,2021-08-26,45.3276785,-75.7039663,FALSE,specialty,health store,65,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,Merivale Gardens - Grenfell Glen - Pineglen - Country Place
Foster Family Farm,"2345 Roger Stevens Dr, North Gower, ON K0A 2T0",NA,NA,2021-08-26,45.1312747,-75.7178534,FALSE,grocery,small,70,North Gower - Kars, 
Frank's Catering & Baked Goods,"283 Greenbank Road, Ottawa, ON",(613) 421-6661,"Bakeries, Sandwiches, Delis",2021-07-06,45.3242692,-75.7776888,FALSE,specialty,bakery,108,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Woodvale - Craig Henry - Manordale - Domaines des Bois d'Arlington
Frankie's Deli,"58 Antares Drive, Ottawa, ON K2E 7W6",NA,"Delis, Italian",2021-08-26,45.3303677,-75.7098027,FALSE,specialty,deli meat cheese,51,Hunt Club South Industrial,Hunt Club Sud Industriel
Franktown Grocery Gas and Pizza,"9645 Highway 15, Smiths Falls, ON K7A 4S7",NA,"Pizza, Convenience Stores, Gas Stations",2021-08-26,45.0388419,-76.0594753,FALSE,convenience,gas station,NA,NA,NA
Free Range Meat & Deli,"194 Robertson Rd, Ottawa, ON K2H 9J5",NA,"Delicatessen, Meat Shops",2021-08-26,45.3176435,-75.843842,FALSE,specialty,deli meat cheese,7,Bells Corners West,Bells Corners Ouest
Fresh Grocer,"40 Jolliet Av, Vanier, ON K1L 5H5",NA,NA,2021-08-26,45.4431425,-75.6687168,FALSE,grocery,small,953,Vanier North,Vanier Nord
Fresh Start Foods Inc,"2072 Walkley Rd, Ottawa, ON K1G 3V3",NA,NA,2021-08-26,45.3847588,-75.6258196,FALSE,grocery,small,917,East Industrial,Industriel-Est
FRESHCO,"320 McArthur Avenue, Ottawa, on, K1L 5G2",613-744-4343,FreshCo McArthur & LaFontaine,2021-05-01,45.4302588,-75.653843,TRUE,grocery,large,940,Overbrook - McArthur, 
FRESHCO,"1595 Merivale Road, Unit # 5, Ottawa, on, K2G 3J4",613-226-1651,FreshCo Merivale & Meadowla,2021-05-01,45.3524148,-75.7327639,TRUE,grocery,large,950,Skyline - Fisher Heights, 
FRESHCO,"2150 Robertson Road, Nepean, on, K2H 9S1",613-726-8038,FreshCo Robertson & Moodie,2021-05-01,45.3194282,-75.8366715,TRUE,grocery,large,7,Bells Corners West,Bells Corners Ouest
FRESHCO,"4750 Bank Street, Ottawa, on, K1J 0K8",613-822-4549,FreshCo Bank & Findley Creek,2021-05-01,45.3191181,-75.5957883,TRUE,grocery,large,921,Findlay Creek, 
FRESHCO,"2480 Strandherd Dr., Building A, Ottawa, on, K2G 4S4",613-823-7269,FreshCo Strandherd & Crestha,2021-05-01,45.2738887,-75.7100224,TRUE,grocery,large,945,Rideau Crest - Davidson Heights, 
FRESHCO,"110 Lansdowne Avenue, Carleton Place, on, K7C 2T7",613-253-6141,FreshCo Carleton Place Lans,2021-05-01,45.1340916,-76.1395226,TRUE,grocery,large,NA,NA,NA
Fruits Express,"5310 Canotek Road, Ottawa, ON",(613) 695-3436,Fruits & Veggies,2021-07-06,45.4520762,-75.5875447,FALSE,grocery,small,93,Rothwell Heights - Beacon Hill North,Rothwell Heights - Beacon Hill Nord
GÃƒÂ¢teaux Gourmands 3D,"865 Maloney E, Gatineau, QC J8P 1H3",NA,"Bakeries, Local Services, Cafes",2021-08-26,45.4870022,-75.6042904,FALSE,specialty,bakery,NA,NA,NA
Gagne en SantÃƒÂ©,"224 Rue Bellehumeur, Gatineau, QC J8T 8N6",NA,Health Food Store,2021-08-26,45.4800691,-75.6933375,FALSE,specialty,health store,NA,NA,NA
Gateway Newstand,"50 Rideau St, Ottawa, ON K1N 9J1",NA,Convenience Stores,2021-08-26,45.4250234,-75.6909652,TRUE,convenience,regular,949,Sandy Hill,CÃ´te-de-Sable
Gateway Newstand,"90 Sparks Street, Ottawa, ON K1P 5B4",NA,NA,2021-08-26,45.4226531,-75.6964906,TRUE,convenience,regular,24,Centretown,Centre-Ville
Gateway Newstand,"99 Metcalfe St, Ottawa, ON K1P 6L7",NA,NA,2021-08-26,45.4208809,-75.6952365,TRUE,grocery,large,24,Centretown,Centre-Ville
Gateway Newstand Blair Bus Terminal,"1980 Ogilvie Road, Gloucester, ON K1J 9L3",NA,NA,2021-08-26,45.4325275,-75.6098258,FALSE,convenience,regular,912,Carson Grove - Carson Meadows, 
GB Carribean Grocery,"609-A Center St, Ottawa, ON K1K 2N8",NA,NA,2021-08-26,45.4418747,-75.6427476,FALSE,grocery,small,940,Overbrook - McArthur, 
Geeland,"1020 St. Laurent Blvd, Ottawa, ON K1K 4S2",NA,NA,2021-08-26,45.4277621,-75.6398977,FALSE,grocery,small,940,Overbrook - McArthur, 
Geeland International Grocery,"1620 Walkley Road, Ottawa, ON",(613) 680-4282,International Grocery,2021-07-06,45.3773624,-75.6450154,FALSE,grocery,small,932,Ledbury - Heron Gate - Ridgemont, 
Geenie Bakery,"209 Glen Park Drive, Ottawa, ON K1B 5B8",NA,"Lebanese, Bakeries, Mediterranean",2021-08-26,45.4309451,-75.5646104,FALSE,specialty,bakery,904,Blackburn Hamlet, 
General Nutrition,"110 Place D'orleans Dr, Orleans, ON K1C 2L9",NA,Health Food Store,2021-08-26,45.4781702,-75.5155571,TRUE,specialty,health store,915,Convent Glen - Orléans Woods, 
General Nutrition,"400 Earl Grey Drive, Kanata, ON K2T 1B9",NA,"Shopping, Health Food Store",2021-08-26,45.3114428,-75.9142711,TRUE,specialty,health store,928,Kanata Lakes - Arcardia, 
General Nutrition Centre,"1200 St Laurent Blvd, Ottawa, ON K1K 3B8",NA,Health Food Store,2021-08-26,45.4219466,-75.6387057,TRUE,specialty,health store,940,Overbrook - McArthur, 
General Nutrition Centre,"160 Bank St, Ottawa, ON K1P 5N8",NA,Health Food Store,2021-08-26,45.4187593,-75.699408,TRUE,specialty,health store,24,Centretown,Centre-Ville
George's Meat Shop,"3681 Innes Road, Ottawa, ON K1C 1T1",NA,Meat Shops,2021-08-26,45.4502459,-75.5189877,FALSE,specialty,bakery,939,Orléans Village - Chateauneuf, 
Giant Tiger,"385, avenue de Buckingham, Buckingham, QC, J8L 2G8",819-986-8533,NA,2021-08-26,45.5898658,-75.4179833,TRUE,convenience,regular,NA,NA,NA
Giant Tiger,"1657 Laurier Street PO Box 719, Rockland, ON, K4K 1L4",613-446-4369,NA,2021-08-26,45.5490373,-75.2899322,TRUE,convenience,regular,NA,NA,NA
Giant Tiger,"715, boul. Maloney Est, Gatineau, QC, J8P 1G3",819-669-8191,NA,2021-08-26,45.4841844,-75.6236107,TRUE,convenience,regular,NA,NA,NA
Giant Tiger,"900 Watters Road, OrlÃƒÂ©ans, ON, K4A 0B4",613-841-1946,NA,2021-08-26,45.4820643,-75.4734004,TRUE,convenience,regular,909,Cardinal Creek, 
Giant Tiger,"2396 St.Joseph Blvd., Orleans, ON, K1C 1G1",613-830-0079,NA,2021-08-26,45.4684687,-75.5286254,TRUE,convenience,regular,939,Orléans Village - Chateauneuf, 
Giant Tiger,"55,  boul. GrÃƒÂ©ber, Gatineau, QC, J8T 3P7",819-561-3563,NA,2021-08-26,45.4625432,-75.6994492,TRUE,convenience,regular,NA,NA,NA
Giant Tiger,"80 Elgin Street West, Arnprior, ON, K7S 1N5",613-623-6203,NA,2021-08-26,45.4339729,-76.3560647,TRUE,convenience,regular,NA,NA,NA
Giant Tiger,"144, rue Papineau, Gatineau, QC",819-427-8163,NA,2021-08-26,45.4305529,-75.7182779,TRUE,convenience,regular,NA,NA,NA
Giant Tiger,"1021 St. Laurent Boulevard, Ottawa, ON, K1K 3B1",613-748-1664,NA,2021-08-26,45.4284564,-75.6379081,TRUE,convenience,regular,940,Overbrook - McArthur, 
Giant Tiger,"98 George Street, Ottawa, ON, K1N 5W2",613-241-6733,NA,2021-08-26,45.427402,-75.6905046,TRUE,convenience,regular,908,Byward Market,Marché By
Giant Tiger,"1085 Wellington Street West, Ottawa, ON, K1Y 2Y4",613-722-9589,NA,2021-08-26,45.4032036,-75.7255198,TRUE,convenience,regular,47,Hintonburg - Mechanicsville, 
Giant Tiger,"210, chemin Aylmer, Gatineau (Aylmer), QC, J9H 1A2",819-682-5200,NA,2021-08-26,45.3947103,-75.8331176,TRUE,convenience,regular,NA,NA,NA
Giant Tiger,"2480 Walkley Road, Ottawa, ON, K1G 6A9",613-526-2416,NA,2021-08-26,45.3902453,-75.6101515,TRUE,convenience,regular,917,East Industrial,Industriel-Est
Giant Tiger,"1512 Merivale Road, Ottawa, ON, K2G 3J6",613 225 7558,NA,2021-08-26,45.3567334,-75.7378655,TRUE,convenience,regular,31,Cityview - Crestview - Meadowlands, 
Giant Tiger,"2950 Bank Street, Blossom Park, ON, K1T 1N8",613-248-2312,NA,2021-08-26,45.344538,-75.622643,TRUE,convenience,regular,52,Hunt Club Upper -Blossom Park - Timbermill,Hunt Club Supérieur - Parc Blossom - Timbermill
Giant Tiger,"1861 Robertson Road, Ottawa, ON, K2H 9N5",613-828-2281,NA,2021-08-26,45.3280758,-75.8210352,TRUE,convenience,regular,6,Bells Corners East,Bells Corners Est
Giant Tiger,"6081 Hazeldean Road, Stittsville, ON, K2S 1B8",613-836-4593,NA,2021-08-26,45.2724542,-75.9329283,TRUE,convenience,regular,951,Stittsville, 
Giant Tiger,"654 Notre Dame Street, Embrun, ON, K0A 1W0",613-443-1215,NA,2021-08-26,45.2679279,-75.3096731,TRUE,convenience,regular,NA,NA,NA
Giant Tiger,"1168 Maple Street, Manotick, ON, K4M 1A5",613-692-4766,NA,2021-08-26,45.2242374,-75.6859436,TRUE,convenience,regular,64,Manotick, 
Giant Tiger,"320 Coleman Street, Carleton Place, ON, K7C 0B5",613-253-5564,NA,2021-08-26,45.1400487,-76.1286808,TRUE,convenience,regular,NA,NA,NA
Giant Tiger,"2970 County Road 43, Kemptville, ON, K0G 1J0",613-258-7888,NA,2021-08-26,45.0286904,-75.6366503,TRUE,convenience,regular,NA,NA,NA
Gigi's Market Lalanne Multi-services,"23 Montreal Rd, Vanier, ON K1L 6E8",NA,NA,2021-08-26,45.4333303,-75.6690121,FALSE,grocery,small,953,Vanier North,Vanier Nord
