rowid,name,address,category2,category3,Nbhd,lat,lng,dataset,update_date,phone,chain,nems_code
555,Le Moulin de Provence K.D,"30 Metcalfe Street, Ottawa, ON K1P 5L4",specialty,bakery,Centretown,45.4223318,-75.6972065,new,2021-08-26,NA,NA,NA
556,Le Muffin Plus,"111 Albert St, Ottawa, ON K1P 5K9",specialty,deli meat cheese,Centretown,45.421646,-75.6974294,new,2021-08-26,NA,NA,NA
557,Le Naturiste Jmb,"1100 Maloney Blvd W, Gatineau, QC J8T 6G3",specialty,health store,(None),45.4756531,-75.6972849,new,2021-08-26,NA,NA,NA
558,Le Pain d'Alain,"53 Boulevard Saint-Joseph, Gatineau, QC J8Y 3W1",specialty,bakery,(None),45.4268064,-75.7336841,new,2021-08-26,NA,NA,NA
559,Le Quick Pick,"71 Rue Laval, Ottawa, ON",grocery,small,(None),45.4278307,-75.7162813,new,2021-08-26,NA,NA,NA
560,Le Roi Pasteries & Bakery,"1729 Bank Street, Ottawa, ON K1V 7Z5",specialty,bakery,Billings Bridge - Alta Vista,45.3742139,-75.6646335,new,2021-08-26,NA,NA,NA
561,Le Smoked Meat a Bonnie,"137, Rue Principale, Aylmer, QC J9H 3M7",specialty,deli meat cheese,(None),45.39537,-75.8423622,new,2021-08-26,NA,NA,NA
562,Lebanese Village Bakery,"2653 Alta Vista Drive, Ottawa, ON K1V 1A3",specialty,bakery,Ledbury - Heron Gate - Ridgemont,45.3723117,-75.6621991,new,2021-08-26,NA,NA,NA
563,Les Moulins La Fayette,"1000 Wellington St W, Ottawa, ON K1Y 2X9",specialty,bakery,Hintonburg - Mechanicsville,45.4051191,-75.7228743,new,2021-08-26,NA,NA,NA
564,Lesuq,"141 Beechwood Av., Ottawa, ON K1M 1L4",grocery,small,Lindenlea - New Edinburgh,45.4424018,-75.6715224,new,2021-08-26,NA,NA,NA
565,LeSuq | Preston,"352 Preston St, Ottawa, ON",grocery,small,West Centretown,45.4020069,-75.7105487,new,2021-08-26,NA,NA,NA
566,Libnan Bakery,"4 Lorry Greenberg Dr, Ottawa, ON K1G 5H6",specialty,bakery,Hunt Club Park,45.3691281,-75.6209221,new,2021-08-26,NA,NA,NA
567,Life of Pie,"1134 Bank Street, Ottawa, ON K1S 3X6",specialty,bakery,Old Ottawa South,45.3933027,-75.6829911,new,2021-08-26,NA,NA,NA
568,Lim Bangkok Grocery,"794 Somerset St W, Ottawa, ON",grocery,small,West Centretown,45.4096052,-75.7102294,new,2021-08-26,NA,NA,NA
569,Little Euro Delicatessen,"2 Goldridge Dr, Kanata, ON K2T 1C7",grocery,small,Kanata Lakes - Arcardia,45.316109,-75.9206246,new,2021-08-26,NA,NA,NA
570,Little Italy Bakery,"306 Preston street, Ottawa, ON K1R 7R6",specialty,bakery,West Centretown,45.4035067,-75.7114095,new,2021-08-26,NA,NA,NA
571,LITTLE ITALY FINE FOODS,"178 MAIN ST, Ottawa, ON",grocery,small,Old Ottawa East,45.4092452,-75.678269,new,2021-08-26,NA,NA,NA
572,Little Jo Berry's,"1305 Wellington Street, Ottawa, ON K1Y 3B1",specialty,bakery,Island Park - Wellington Village,45.3989748,-75.7358552,new,2021-08-26,NA,NA,NA
573,Little Latin America,"764 Somerset St W, Ottawa, ON K1R 6P9",grocery,small,West Centretown,45.4101579,-75.7084932,new,2021-08-26,NA,NA,NA
574,LOBLAWS,"363 Rideau St, Ottawa, Ontario, K1N 5Y6",grocery,large,Lowertown,45.4301553,-75.6838142,new,2021-08-26,NA,NA,NA
575,LOBLAWS,"100 McArthur Rd, Ottawa, Ontario, K1L 8H5",grocery,large,Overbrook - McArthur,45.4293416,-75.6648604,new,2021-08-26,NA,NA,NA
576,LOBLAWS,"64 Isabella St, Ottawa, Ontario, K1S 1V4",grocery,large,Glebe - Dows Lake,45.4104617,-75.6858976,new,2021-08-26,NA,NA,NA
577,LOBLAWS,"1910 St Laurent Blvd, Ottawa, Ontario, K1G 1A4",grocery,large,Elmvale - Canterbury,45.3990561,-75.6239131,new,2021-08-26,NA,NA,NA
578,LOBLAWS,"2085 Carling Ave, Ottawa, Ontario, K2A 1H2",grocery,large,Laurentian,45.3723082,-75.7675725,new,2021-08-26,NA,NA,NA
579,LOBLAWS,"1460 Merivale Rd, Nepean, Ontario, K2E 5P2",grocery,large,Skyline - Fisher Heights,45.3619299,-75.7353516,new,2021-08-26,NA,NA,NA
580,LOBLAWS,"2210 Bank St, Ottawa, Ontario, K1V 1J5",grocery,large,South Keys - Greenboro West,45.3556337,-75.6546138,new,2021-08-26,NA,NA,NA
581,LOBLAWS,"1980 Baseline Rd, Ottawa, Ontario, K2C 0C6",grocery,large,Cityview - Crestview - Meadowlands,45.3520746,-75.7595588,new,2021-08-26,NA,NA,NA
582,LOBLAWS,"2065A Robertson Rd, Ottawa, Ontario, K2H 5H9",grocery,large,Bells Corners East,45.3245571,-75.8330591,new,2021-08-26,NA,NA,NA
583,LOBLAWS,"200 Earl Grey Dr, Ottawa, Ontario, K2T 1B6",grocery,large,Kanata Lakes - Arcardia,45.3100558,-75.9164635,new,2021-08-26,NA,NA,NA
584,LOBLAWS,"3201 Greenbank Rd, Ottawa, Ontario, K2J 4H9",grocery,large,Chapman Mills,45.2680519,-75.7434605,new,2021-08-26,NA,NA,NA
585,Log Cabin Orchard,"6121 Cabin Road, Ottawa, ON K0A 2W0",farmer's market,farmer's market,Osgoode - Vernon,45.1699211,-75.5809559,new,2021-08-26,NA,NA,NA
586,Luciano Foods,"114 Preston St, Ottawa, ON",grocery,small,West Centretown,45.4085215,-75.714604,new,2021-08-26,NA,NA,NA
587,Lunch,"121 Bank Street, Ottawa, ON K1P 5N5",specialty,deli meat cheese,Centretown,45.4196603,-75.6998674,new,2021-08-26,NA,NA,NA
588,Lunch,"60 A Lebreton Street, Ottawa, ON K1R 7H3",specialty,deli meat cheese,West Centretown,45.4085651,-75.7087642,new,2021-08-26,NA,NA,NA
589,Lusa Bakery,"1111 Wellington Street, Ottawa, ON K1Y 2Y6",specialty,bakery,Hintonburg - Mechanicsville,45.4025698,-75.7261541,new,2021-08-26,NA,NA,NA
590,Lx & Lz Variety,"440 Gloucester St, Ottawa, ON K1R 7T8",convenience,regular,Centretown,45.4140798,-75.7067335,new,2021-08-26,NA,NA,NA
591,Lyndale Corner Food Mart,"60 Lyndale Avenue, Ottawa, ON K1Y 2M8",convenience,regular,Hintonburg - Mechanicsville,45.4071673,-75.7308767,new,2021-08-26,NA,NA,NA
592,M & A Convenience Store,"178 Rideau Street, Ottawa, ON K1N 5X6",convenience,regular,Sandy Hill,45.427146,-75.689152000000007,new,2021-08-26,NA,NA,NA
593,M & J Tropical Super Market,"1509 Merivale Road, Ottawa, ON",grocery,small,Skyline - Fisher Heights,45.3572937,-75.7367947,new,2021-08-26,NA,NA,NA
594,M&M Food Market,"536 Montreal Rd, Ottawa, ON K1K 0T9",grocery,large,Overbrook - McArthur,45.4407432,-75.6455791,new,2021-08-26,NA,NA,NA
595,M&M Food Market,"197 Trainyards Drive, Ottawa, ON",grocery,large,East Industrial,45.413763,-75.64364,new,2021-08-26,NA,NA,NA
596,M&M Food Market,"990 River Rd, Ottawa, ON",grocery,large,Manotick,45.2339852,-75.6774721,new,2021-08-26,NA,NA,NA
597,Mac's,"6469 Jeanne D'Arc Blvd North, OTTAWA, Canada",convenience,gas station,Convent Glen - Orléans Woods,45.4803399,-75.5370229,new,2021-08-26,NA,NA,NA
598,Mac's,"1985 Trim Road, OTTAWA, Canada",convenience,gas station,Cardinal Creek,45.4713098,-75.4539885,new,2021-08-26,NA,NA,NA
599,Mac's,"2302 Tenth Line Road, OTTAWA, Canada",convenience,gas station,Portobello South,45.4507803,-75.4830486,new,2021-08-26,NA,NA,NA
600,Mac's,"395 Montreal Road, OTTAWA, Canada",convenience,gas station,Vanier North,45.4390106,-75.6539378,new,2021-08-26,NA,NA,NA
601,Mac's,"1025 Merivale Rd., OTTAWA, Canada",convenience,regular,Carlington,45.3789466,-75.7328982,new,2021-08-26,NA,NA,NA
602,Mac's,"888 Meadowlands Dr. E., OTTAWA, Canada",convenience,regular,Carleton Heights - Rideauview,45.3671249,-75.7025045,new,2021-08-26,NA,NA,NA
603,Mac's,"1031 Teron Rd., KANATA, Canada",convenience,regular,Beaverbrook,45.3305788,-75.9003508,new,2021-08-26,NA,NA,NA
604,Mac's,"13 Kakulu Rd., KANATA, Canada",convenience,regular,Katimavik - Hazeldean,45.3094398,-75.8816581,new,2021-08-26,NA,NA,NA
605,Mac's,"100 Castlefrank Rd., KANATA, Canada",convenience,regular,Glen Cairn - Kanata South Business Park,45.2936647,-75.8816465,new,2021-08-26,NA,NA,NA
606,Mac's,"1 Tartan Dr., NEPEAN, Canada",convenience,regular,Old Barrhaven East,45.269884,-75.7540622,new,2021-08-26,NA,NA,NA
607,Mac's,"1 Hobin St., STITTSVILLE, Canada",convenience,regular,Stittsville,45.2647162,-75.9292944,new,2021-08-26,NA,NA,NA
608,Mac's,"5511 Main Street, MANOTICK, Canada",convenience,regular,Manotick,45.2271049,-75.6861776,new,2021-08-26,NA,NA,NA
609,Mac's,"163 Town Line W., CARLETON PLACE, Canada",convenience,regular,(None),45.1405071,-76.1557846,new,2021-08-26,NA,NA,NA
610,Mac's,"355 Franktown Rd., CARLETON PLACE, Canada",convenience,regular,(None),45.1309426,-76.1287832,new,2021-08-26,NA,NA,NA
611,Mac's,"421 Rideau Street, KEMPTVILLE, Canada",convenience,gas station,(None),45.0196507,-75.6508847,new,2021-08-26,NA,NA,NA
612,Mace Concenience,"876 Montreal Rd, Ottawa, ON K1K 4L3",convenience,regular,Carson Grove - Carson Meadows,45.4457968,-75.6301564,new,2021-08-26,NA,NA,NA
613,MacEwen Albion,"5546 Albion Road, Gloucester, ON",convenience,gas station,Greely,45.269772,-75.5944777,new,2021-08-26,NA,NA,NA
614,MacEwen Aylmer,"380 Chemin Vanier, Aylmer, Gatineau, QC",convenience,gas station,(None),45.4127014,-75.8089522,new,2021-08-26,NA,NA,NA
615,MacEwen Bank & Catherine,"512a Bank Street, Ottawa, ON",convenience,gas station,Centretown,45.4096706,-75.6924399,new,2021-08-26,NA,NA,NA
616,MacEwen Carleton Place,"322 Townline Road East, Carleton Place, ON",convenience,gas station,(None),45.1500151,-76.1414177,new,2021-08-26,NA,NA,NA
617,MacEwen Carp Road,"2070 Carp Rd, Carp, ON",convenience,gas station,Stittsville,45.2756404,-75.9496328,new,2021-08-26,NA,NA,NA
618,MacEwen Dunrobin,"1794 Dunrobin Rd, Dunrobin, ON",convenience,gas station,Dunrobin,45.3831274,-75.9694675,new,2021-08-26,NA,NA,NA
619,MacEwen Fallowfield,"4564 Fallowfield Road, Ottawa, ON",convenience,gas station,Richmond,45.2689656,-75.8018053,new,2021-08-26,NA,NA,NA
620,MacEwen Kemptville,"2985 County Rd 43, Kemptville, ON",convenience,gas station,(None),45.0299974,-75.6373387,new,2021-08-26,NA,NA,NA
621,MacEwen Richmond,"5925 Perth St, Richmond, ON",convenience,gas station,Richmond,45.2007119,-75.8294839,new,2021-08-26,NA,NA,NA
622,MacEwen Rideau Road,"5026 Bank Street, Gloucester, ON K1X 1G8",convenience,gas station,Greely,45.2971137,-75.5807549,new,2021-08-26,NA,NA,NA
623,MacEwen River Road,"685 River Road, Ottawa, ON K1V 2G2",convenience,gas station,Riverside South - Leitrim,45.2701673,-75.6978273,new,2021-08-26,NA,NA,NA
624,MacEwen Russell,"1112 Concession Street, Russell, ON",convenience,gas station,(None),45.2581067,-75.3591107,new,2021-08-26,NA,NA,NA
625,MacEwen St. Laurent & Belfast,"1515 St Laurent Blvd, Ottawa, ON",convenience,gas station,East Industrial,45.412291,-75.6302972,new,2021-08-26,NA,NA,NA
626,MacEwen Vars,"104 St Guillaume Rd, Vars, ON K0A 3H0",convenience,gas station,(None),45.3308521,-75.346099,new,2021-08-26,NA,NA,NA
627,Madina City Market,"1136 Cadboro Rd, Ottawa, ON K1J 7R1",grocery,small,Carson Grove - Carson Meadows,45.4307575,-75.6211764,new,2021-08-26,NA,NA,NA
628,Maggy's Mart,"8154 Jeanne D'arc Blvd N, Orleans, ON K1E 2H5",convenience,regular,Chatelaine Village,45.4875472,-75.5116649,new,2021-08-26,NA,NA,NA
629,Maguro Cafe & Bakery,"745 Kanata Ave, Ottawa, ON K2T 1H9",specialty,bakery,Kanata Lakes - Arcardia,45.3109367,-75.909642,new,2021-08-26,NA,NA,NA
630,Main Farmers' Market,"210 Main Street, Ottawa, ON K1S 1C6",farmer's market,farmer's market,Old Ottawa East,45.4080462,-75.6775902,new,2021-08-26,NA,NA,NA
631,Maison,"4750 Bank Street, Ottawa, ON",specialty,deli meat cheese,Findlay Creek,45.3191181,-75.5957883,new,2021-08-26,NA,NA,NA
632,Maison Oddo,"260 Boulevard Saint-Raymond, Gatineau, QC J9A 3G7",specialty,bakery,(None),45.4270446,-75.7628713,new,2021-08-26,NA,NA,NA
633,Malak Lebanese Pastry,"1216 Bank Street, Ottawa, ON K1S 3Y1",specialty,bakery,Old Ottawa South,45.3914804,-75.6811092,new,2021-08-26,NA,NA,NA
634,Mama Cora Latin Market,"274 Montreal Rd, Vanier, ON K1L 6C3",grocery,small,Vanier South,45.4366197,-75.6598836,new,2021-08-26,NA,NA,NA
635,Mama Rosa,"375 Des Epinettes Avenue, OrlÃƒÂ©ans, ON K1E 3E6",specialty,deli meat cheese,Queenswood Heights,45.4661877,-75.4957745,new,2021-08-26,NA,NA,NA
636,Mamie Clafoutis,"400 Richmond Road, Ottawa, ON K2A 3X9",specialty,bakery,Laurentian,45.390509,-75.7564147,new,2021-08-26,NA,NA,NA
637,Mamma Teresa Ristorante,"300 Somerset St W, Ottawa, ON K2P 0J6",specialty,deli meat cheese,Centretown,45.4160858,-75.6939437,new,2021-08-26,NA,NA,NA
638,"Manila Mart African, Filipino & Asian Grocery","2924 Carling Ave, Ottawa, ON K2B 7J7",grocery,small,Whitehaven - Queensway Terrace North,45.3565119,-75.8012461,new,2021-08-26,NA,NA,NA
639,Manor Park Convenience Store,"293 St Laurent Blvd, Ottawa, ON K1K 2Z3",convenience,regular,Manor Park,45.4511597,-75.6522707,new,2021-08-26,NA,NA,NA
640,Manor Park Grocy,"179 St Laurent Blvd, Ottawa, ON",grocery,small,Manor Park,45.4541521,-75.6539569,new,2021-08-26,NA,NA,NA
641,Manotick Natural Market,"1143 Tighe Street, Manotick, ON K4M 1A8",specialty,health store,Manotick,45.2256217,-75.6840638,new,2021-08-26,NA,NA,NA
642,Manphong Supermarket,"775 Somerset St W, Ottawa, ON",grocery,small,West Centretown,45.4101418,-75.7096661,new,2021-08-26,NA,NA,NA
643,Maple Hill Urban Farm,"200 Moodie Drive, Ottawa, ON K2H 8K6",farmer's market,farmer's market,Greenbelt,45.3290301,-75.8440551,new,2021-08-26,NA,NA,NA
644,Maple Leaf Dairy,"249 Bridge Street, Carleton Place, ON K7C 3H3",convenience,regular,(None),45.1421263,-76.1484897,new,2021-08-26,NA,NA,NA
645,Maple Tuck Shop,"1150 Fisher Ave, Ottawa, ON K1Z 8M6",convenience,regular,Civic Hospital-Central Park,45.3775357,-75.7215341,new,2021-08-26,NA,NA,NA
646,Marcello's,"407 Laurier Avenue W, Ottawa, ON K1R 7Y7",convenience,regular,Centretown,45.4176063,-75.7020495,new,2021-08-26,NA,NA,NA
647,Marcello's Catering,"333 Preston St, Ottawa, ON K1S 5N4",specialty,bakery,West Centretown,45.4024288,-75.7084054,new,2021-08-26,NA,NA,NA
648,Marcello's Deli & Market,"240 Sparks St, Ottawa, ON K1P 6C9",specialty,deli meat cheese,Centretown,45.4202971,-75.702403,new,2021-08-26,NA,NA,NA
649,Marcello's Marche Et Deli,"25 Rue Eddy, Gatineau, QC J8X 4B5",specialty,deli meat cheese,(None),45.4257486,-75.7205696,new,2021-08-26,NA,NA,NA
650,Marcello's Marche Et Deli,"1 Promenade Du Portage, Gatineau, QC J8X 4B1",specialty,deli meat cheese,(None),45.4251583,-75.7217569,new,2021-08-26,NA,NA,NA
651,Marcello's Market & Deli,"99 Bank St, Ottawa, ON K1P 6B9",specialty,deli meat cheese,Centretown,45.4204966,-75.7000906,new,2021-08-26,NA,NA,NA
652,Marcello's Market & Deli,"150 Slater St., Ottawa, ON K1P 5H3",grocery,large,Centretown,45.4201613,-75.6974389,new,2021-08-26,NA,NA,NA
653,MarchÃ¢Ë†Å¡Ã‚Â© Bonichoix Alain Viau,"1244 St Augustin Rd, Embrun, ON K0A 1W0",grocery,small,(None),45.274131,-75.275381,new,2021-08-26,NA,NA,NA
654,MarchÃƒÂ© Hintonburg Market,"1059 Wellington Street, Ottawa, ON",grocery,small,Hintonburg - Mechanicsville,45.4039534,-75.7247482,new,2021-08-26,NA,NA,NA
655,Mario's Food Centre,"381 McArthur Ave, Ottawa, ON",grocery,small,Vanier South,45.4323227,-75.6505081,new,2021-08-26,NA,NA,NA
656,Markie's Montreal Smoked Meat,"E-1679 Carling Ave, Ottawa, ON K2A 1C4",specialty,deli meat cheese,Westboro,45.3797627,-75.7502537,new,2021-08-26,NA,NA,NA
657,Marsh's Gourmet Cookie Dough,"10 Belmont, Aylmer, QC J9H 6J5",specialty,bakery,(None),45.39423,-75.830209,new,2021-08-26,NA,NA,NA
658,Matar Meat Shop,"1077 Cyrville Rd, Gloucester, ON K1J 7S6",grocery,small,Overbrook - McArthur,45.4246534,-75.6349292,new,2021-08-26,NA,NA,NA
659,Maurice Grocery Store,"1755 Frobisher Ln, Ottawa, ON K1G 3T6",grocery,small,Riverview,45.4020236,-75.6652683,new,2021-08-26,NA,NA,NA
660,Maverick's Donut,"1500 Bank Street, Ottawa, ON K1H 7Z2",specialty,bakery,Billings Bridge - Alta Vista,45.3809813,-75.6701018,new,2021-08-26,NA,NA,NA
661,Maverick Donuts,"46 Byward Market Square, Ottawa, ON K1N 7A2",specialty,bakery,Byward Market,45.427458,-75.6928445,new,2021-08-26,NA,NA,NA
662,Maxi,"300 Saint-Joseph Blvd, Ottawa, ON",grocery,small,Greenbelt,45.460199,-75.5555398,new,2021-08-26,NA,NA,NA
663,Maya Market,"197 Norice St, Nepean, ON K2G 2Y5",grocery,small,Cityview - Crestview - Meadowlands,45.3397168,-75.7540739,new,2021-08-26,NA,NA,NA
664,MC Hallal Meat & Grocery,"379 McArthur Ave., Vanier, ON K1L 6N5",grocery,small,Vanier South,45.4323187,-75.6505747,new,2021-08-26,NA,NA,NA
665,MD Tuck Shop,"1551 Riverside Dr, Ottawa, ON K1G 4B5",convenience,regular,Riverview,45.408483,-75.6627191,new,2021-08-26,NA,NA,NA
666,Mediterranean Bakery - Pastry & Pizza,"2698 Alta Vista Drive, Ottawa, ON K1P 5K9",specialty,bakery,Billings Bridge - Alta Vista,45.3734448,-75.6641114,new,2021-08-26,NA,NA,NA
667,Melrose Grocery Store,"1082 Wellington St W, Ottawa, ON",grocery,small,Hintonburg - Mechanicsville,45.4031558,-75.7250742,new,2021-08-26,NA,NA,NA
668,Meow Tea,"279 Elgin Street, Ottawa, ON K2P 1M1",specialty,bakery,Centretown,45.4175576,-75.6899254,new,2021-08-26,NA,NA,NA
669,Mercado Latino,"67 Montreal Rd, Vanier, ON K1L 6E8",grocery,small,Vanier North,45.4337466,-75.6680196,new,2021-08-26,NA,NA,NA
670,Mergi Shop,"382 Rideau St, Ottawa, ON K1N 5Y8",grocery,small,Sandy Hill,45.4297893,-75.6827599,new,2021-08-26,NA,NA,NA
671,Merivale Fish Market,"1480 Merivale Road, Ottawa, ON",grocery,small,Skyline - Fisher Heights,45.3601589,-75.7359322,new,2021-08-26,NA,NA,NA
672,Metcalfe Variety,"8196 Victoria Street, Ottawa, ON K0A 2P0",convenience,regular,Metcalfe,45.2349347,-75.4743956,new,2021-08-26,NA,NA,NA
673,METRO,"6509 Jeane D'Arc Blvd., Orleans, ON K1C 2R1",grocery,large,Convent Glen - Orléans Woods,45.4807611,-75.5361128,new,2021-08-26,NA,NA,NA
674,METRO,"1675 Tenth Line Road, Orleans, ON K1E 3P6",grocery,large,Fallingbrook,45.4690176,-75.4912331,new,2021-08-26,NA,NA,NA
675,METRO,"4510 Innes Road, Ottawa, ON K4A 4C5",grocery,large,Portobello South,45.4613368,-75.4841125,new,2021-08-26,NA,NA,NA
676,METRO,"1930 Montreal Road, Gloucester, ON K1J 6N2",grocery,large,Beacon Hill South - Cardinal Heights,45.4454303,-75.5952217,new,2021-08-26,NA,NA,NA
677,METRO,"50 Beechwood Avenue, Ottawa, ON K1L 8B3",grocery,large,Vanier North,45.4394956,-75.6756442,new,2021-08-26,NA,NA,NA
678,METRO,"2636 Innes Road, Gloucester, ON K1B 4Z8",grocery,large,Blackburn Hamlet,45.4314383,-75.5630346,new,2021-08-26,NA,NA,NA
679,METRO,"375 Daniel St. S, Arnprior, ON K7S 3K6",grocery,large,(None),45.4257504,-76.3679176,new,2021-08-26,NA,NA,NA
680,METRO,"754 Bank Street, Ottawa, ON K1S 3V6",grocery,large,Glebe - Dows Lake,45.4033564,-75.6889232,new,2021-08-26,NA,NA,NA
681,METRO,"345 Carleton Avenue, Ottawa, ON K1Y 0K3",grocery,large,Island Park - Wellington Village,45.3983659,-75.7404881,new,2021-08-26,NA,NA,NA
682,METRO,"2261 Walkley Road, Ottawa, ON K1G 3G8",grocery,large,Elmvale - Canterbury,45.3895383,-75.6192521,new,2021-08-26,NA,NA,NA
683,METRO,"1360 Richmond Road, Ottawa, ON K2B 8L4",grocery,large,Britannia Village,45.3651759,-75.7866521,new,2021-08-26,NA,NA,NA
684,METRO,"2515 Bank Street, Ottawa, ON K1V 8R9",grocery,large,South Keys - Greenboro West,45.3542812,-75.6459712,new,2021-08-26,NA,NA,NA
685,METRO,"3310 McCarthy Rd., Ottawa, ON K1V 9S1",grocery,large,Hunt Club East - Western Community,45.3506573,-75.6719591,new,2021-08-26,NA,NA,NA
686,METRO,"1705 Merivale Road, Ottawa, ON K2G 3K2",grocery,large,Borden Farm - Fisher Glen,45.3449939,-75.7280403,new,2021-08-26,NA,NA,NA
687,METRO,"4048 Carling Avenue, Kanata, ON K2K 1Y1",grocery,large,Brookside - Briarbrook - Morgan's Grant,45.3371417,-75.9072525,new,2021-08-26,NA,NA,NA
688,METRO,"#2 - 1811 Robertson Road, Nepean, ON K2H 8X3",grocery,large,Bells Corners East,45.3302476,-75.8171021,new,2021-08-26,NA,NA,NA
689,METRO,"250 Greenbank Road, Nepean, ON K2H 8P3",grocery,large,Trend-Arlington,45.3253982,-75.7798765,new,2021-08-26,NA,NA,NA
690,METRO,"10 Cope Drive, Kanata, ON K2M 0N2",grocery,large,Glen Cairn - Kanata South Business Park,45.2821603,-75.8652185,new,2021-08-26,NA,NA,NA
691,METRO,"3201 Strandherd Drive, Nepean, ON K2J 5N1",grocery,large,Chapman Mills,45.27456,-75.7212893,new,2021-08-26,NA,NA,NA
692,Metro Plus,"910 Boulevard Maloney E, Ottawa, ON",grocery,small,(None),45.4883472,-75.5975053,new,2021-08-26,NA,NA,NA
693,Metropolitain Brasserie,"700 Sussex Drive, Ottawa, ON K1N 1K4",specialty,bakery,Byward Market,45.4257961,-75.6940846,new,2021-08-26,NA,NA,NA
694,MF Foodmart,"850 Merivale Rd, Ottawa, ON K1Z 5Z4",grocery,small,Carlington,45.3852417,-75.732678,new,2021-08-26,NA,NA,NA
695,Michael's Confectionary,"287 Somerset St E, Ottawa, ON K1N 6V7",convenience,regular,Sandy Hill,45.4237649,-75.6766297,new,2021-08-26,NA,NA,NA
696,Michel's Baguette,"50 Rideau Street, Ottawa, ON K1N 9J7",specialty,bakery,Sandy Hill,45.4252795,-75.6929819,new,2021-08-26,NA,NA,NA
697,Michel's Bakery Cafe,"1200 St. Laurent Blvd, Ottawa, ON K1K",specialty,bakery,Overbrook - McArthur,45.4219466,-75.6387057,new,2021-08-26,NA,NA,NA
698,Mickey Tran Dba All Convenience,"200 Rideau Ter, Ottawa, ON K1M 0Z3",convenience,regular,Lindenlea - New Edinburgh,45.4433902,-75.6747098,new,2021-08-26,NA,NA,NA
699,Mid-East Food Centre,"1010 Belfast Road, Ottawa, ON",grocery,small,East Industrial,45.4107723,-75.6310612,new,2021-08-26,NA,NA,NA
700,Midori Market,"3689 Navan Rd, Ottawa, ON K4B 1H9",grocery,small,Chapel Hill South,45.4265805,-75.4890519,new,2021-08-26,NA,NA,NA
701,Mike's Corner Store,"44 Elm St, Ottawa, ON K1R 6N1",convenience,regular,West Centretown,45.4103193,-75.7125998,new,2021-08-26,NA,NA,NA
702,Mike's Garden Harvest,"436 River Rd, Gloucester, ON K1V 1E7",grocery,small,Greenbelt,45.3017972,-75.6968555,new,2021-08-26,NA,NA,NA
703,Millers' Farm and Market,"6158 Rideau Valley Dr N, Manotick, ON K4M 1B3",grocery,small,North Gower - Kars,45.1950474,-75.6437272,new,2021-08-26,NA,NA,NA
704,Milo's Pastry,"505 Industrial Avenue, Ottawa, ON K1G 0Z1",specialty,bakery,East Industrial,45.4121976,-75.6472274,new,2021-08-26,NA,NA,NA
705,Mimi's Food Market Express,"549 Gladstone Ave, Ottawa, ON",grocery,small,Centretown,45.4099135,-75.6994313,new,2021-08-26,NA,NA,NA
706,Mimi Dairy Barn and Cafe,"1088 Bridge St, Ottawa, ON K4M 1J2",specialty,bakery,Manotick,45.2292958,-75.6819243,new,2021-08-26,NA,NA,NA
707,Min-A-Mart,"158 McArthur Ave, Ottawa, ON K1L 8C9",convenience,regular,Overbrook - McArthur,45.4306706,-75.6632267,new,2021-08-26,NA,NA,NA
708,Mini Confectionery,"273 Montfort St, Vanier, ON K1L 5N8",grocery,small,Vanier North,45.4389471,-75.6615451,new,2021-08-26,NA,NA,NA
709,Misto Fine Food Emporium,"1387 Carling Avenue, Ottawa, ON",grocery,small,Westboro,45.3863565,-75.7395389,new,2021-08-26,NA,NA,NA
710,MOBIL@  - 4272,"4270 INNES ROAD, OTTAWA, ON",convenience,gas station,Portobello South,45.4572295,-75.4953166,new,2021-08-26,NA,NA,NA
711,MOBIL@  - 4281,"1460 MERIVALE ROAD, OTTAWA, ON",convenience,gas station,Skyline - Fisher Heights,45.3619299,-75.7353516,new,2021-08-26,NA,NA,NA
712,Moca Loca,"335 Boulevard Saint-Joseph, Gatineau, QC J8Y",specialty,bakery,(None),45.4415051,-75.733081,new,2021-08-26,NA,NA,NA
713,Moca Loca Cafe,"1 Rue Victoria, Gatineau, QC J8X 1Z6",specialty,bakery,(None),45.42903,-75.7157277,new,2021-08-26,NA,NA,NA
714,Moe's Convenience Store,"1665 Cyrville Road, Gloucester, ON K1B 3L7",convenience,regular,Pineview,45.418213,-75.6081073,new,2021-08-26,NA,NA,NA
715,Mommy's Yummies Food,"15 Grenfell Crescent, Nepean, ON K2G 0G3",specialty,health store,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,45.3104886,-75.7379324,new,2021-08-26,NA,NA,NA
716,Moncion's Your Independant Grocer,"671 River Road, Gloucester, ON K1V 2G2",specialty,health store,Riverside South - Leitrim,45.2705567,-75.6974346,new,2021-08-26,NA,NA,NA
717,Monty's Deli,"78 Hinton Ave N, Ottawa, ON K1Y 0Z8",specialty,deli meat cheese,Hintonburg - Mechanicsville,45.4011279,-75.7319038,new,2021-08-26,NA,NA,NA
718,Mooney's Bay Grocerteria,"2660 Norberry Crescent, Ottawa, ON K1V 6N2",grocery,small,Riverside Park,45.3683529,-75.6832697,new,2021-08-26,NA,NA,NA
719,Morala Specialty Coffee,"734 Bank St, Ottawa, ON K1S 3V4",specialty,bakery,Glebe - Dows Lake,45.4040279,-75.6891235,new,2021-08-26,NA,NA,NA
